Question,OpenAI vs Gemini',OpenAI vs Gemini
 ,contradiction,not contradiction
1,2,2
2,0,2
3,2,1
4,1,0
5,1,2
6,0,4
7,0,3
8,2,1
9,1,4
10,1,2
11,2,3
12,0,5
13,0,5
14,1,1
15,2,1
16,0,4
17,1,4
18,1,4
19,0,5
20,2,2
21,1,3
22,2,3
23,2,1
24,1,2
25,2,0
26,0,5
27,2,3
28,0,5
29,0,1
30,0,5
31,0,5
32,1,4
33,0,3
34,1,4
35,1,4
36,2,2
37,0,1
38,1,1
39,1,4
40,1,4
41,1,2
42,1,4
43,1,4
44,1,3
45,0,3
46,1,2
47,3,2
48,2,3
49,0,5
50,0,2
51,1,4
52,1,4
53,0,3
54,1,4
55,0,5
56,1,4
57,0,5
58,0,3
59,1,4
60,1,3
61,1,4
62,1,4
63,0,4
64,0,5
65,0,4
66,0,5
67,1,3
68,2,3
69,1,4
70,3,0
71,1,1
72,0,2
73,2,2
74,1,0
75,0,5
76,0,4
77,0,3
78,0,5
79,0,5
80,1,4
81,1,4
82,0,2
83,0,3
84,0,5
85,1,4
86,0,5
87,0,5
88,2,1
89,1,1
90,0,5
91,0,2
92,0,5
93,0,4
94,1,4
95,1,4
96,2,2
97,2,1
98,1,2
99,1,3
100,0,3
101,0,5
102,0,5
103,3,2
104,0,4
105,0,2
106,0,2
107,1,3
108,0,2
109,0,5
110,3,0
111,2,3
112,0,3
113,0,5
114,0,5
115,0,2
116,2,3
117,1,4
118,1,2
119,0,5
120,1,2
121,1,4
122,1,4
123,2,1
124,1,2
125,2,3
126,1,4
127,0,2
128,0,4
129,1,4
130,1,0
131,1,3
132,0,4
133,0,2
134,1,2
135,0,4
136,0,3
137,1,1
138,1,4
139,2,0
140,2,2
141,0,5
142,0,2
143,1,2
144,1,3
145,1,4
146,1,0
147,3,2
148,1,4
149,2,1
150,1,4
151,0,5
152,0,5
153,0,1
154,1,2
155,1,4
156,1,1
157,1,1
158,0,5
159,0,5
160,2,0
161,0,5
162,0,5
163,0,2
164,1,4
165,1,4
166,0,1
167,0,5
168,0,5
169,3,2
170,1,2
171,1,2
172,1,2
173,1,4
174,1,4
175,1,3
176,1,1
177,0,4
178,0,3
179,0,2
180,0,5
181,0,4
182,0,1
183,0,2
184,1,4
185,0,5
186,1,4
187,2,3
188,2,3
189,0,5
190,0,5
191,1,3
192,0,5
193,0,5
194,0,5
195,2,3
196,0,1
197,1,4
198,2,3
199,2,3
200,2,3
201,0,5
202,0,4
203,2,3
204,2,3
205,3,2
206,1,4
207,2,3
208,0,4
209,1,4
210,0,5
211,3,2
212,1,4
213,1,4
214,1,4
215,2,4
216,0,2
217,1,4
218,4,1
219,2,3
220,1,0
221,1,4
222,0,5
223,0,3
224,0,5
225,1,0
226,2,3
227,0,5
228,0,2
229,0,5
230,0,5
231,0,4
232,0,5
233,3,2
234,0,4
235,0,5
236,0,3
237,1,4
238,1,4
239,0,1
240,0,3
241,0,4
242,1,4
243,0,5
244,0,5
245,1,4
246,0,2
247,0,5
248,2,3
249,1,1
250,0,5
251,1,4
252,0,5
253,0,5
254,1,4
255,0,5
256,2,3
257,0,5
258,0,1
259,1,4
260,1,4
261,0,5
262,2,2
263,0,3
264,0,5
265,1,4
266,1,3
267,0,5
268,2,3
269,0,1
270,0,5
271,0,5
272,0,5
273,0,1
