Question,OpenAI vs Gemini',OpenAI vs Gemini,OpenAI vs Gemini'
 ,contradiction,not contradiction,irrelevant
1,2,2,1
2,1,1,3
3,0,4,1
4,2,0,3
5,1,2,2
6,1,3,1
7,3,1,1
8,3,2,0
9,2,1,1
10,2,2,1
11,1,4,0
12,1,2,2
13,0,1,3
14,1,3,0
15,0,2,1
16,2,2,1
17,0,0,1
18,1,0,4
19,3,0,1
20,2,2,1
21,1,4,0
22,2,2,0
23,1,2,2
24,0,3,2
25,1,2,2
26,3,2,0
27,4,1,0
28,1,4,0
29,2,2,1
30,2,0,3
31,1,2,1
32,1,4,0
33,1,2,1
34,0,2,1
35,1,0,0
36,0,3,1
37,1,1,0
38,0,1,1
39,1,2,2
40,2,0,0
41,2,1,0
42,0,4,0
43,3,1,1
44,1,2,2
45,1,3,1
46,0,1,1
47,0,5,0
48,0,4,1
49,2,0,3
50,1,1,0
51,1,1,2
52,0,1,1
53,1,2,2
54,1,0,0
55,1,3,1
56,0,0,2
57,1,0,2
58,1,4,0
59,0,4,1
60,2,2,1
61,0,2,0
62,0,1,1
63,1,4,0
64,2,3,0
65,1,2,2
66,1,3,0
67,1,3,1
68,2,2,1
69,2,1,0
70,3,1,0
71,1,1,0
72,3,2,0
73,2,1,2
74,3,2,0
75,3,1,1
76,2,2,0
77,1,0,0
78,2,0,3
79,1,1,3
80,0,2,0
81,0,4,1
82,1,3,0
83,3,2,0
84,1,3,1
85,3,1,1
86,3,1,1
87,2,2,1
88,2,2,1
89,2,1,2
90,4,0,1
91,1,3,1
92,2,3,0
93,3,2,0
94,1,2,2
95,2,2,1
96,1,1,2
97,0,4,1
98,1,0,0
99,1,3,1
100,1,4,0
101,1,0,3
102,1,3,1
103,2,2,1
104,0,2,3
105,1,2,2
106,1,1,1
107,1,3,1
108,2,0,3
109,1,4,0
110,1,0,0
111,1,0,3
112,0,5,0
113,2,0,0
114,1,3,0
115,1,3,1
116,2,3,0
117,1,2,2
118,1,3,1
119,3,1,1
120,3,2,0
121,1,4,0
122,0,1,4
123,0,4,1
124,0,4,0
125,1,0,4
126,1,3,1
127,2,2,0
128,1,3,1
129,1,3,1
130,2,0,0
131,2,2,1
132,1,2,1
133,2,1,2
134,1,2,2
135,2,0,3
136,1,3,1
137,0,5,0
138,0,3,0
139,2,3,0
140,2,1,0
141,2,1,1
142,0,3,2
143,1,0,4
144,1,1,3
145,3,2,0
146,2,0,2
147,1,1,1
148,1,2,2
149,0,3,2
150,2,3,0
151,1,0,4
152,1,3,1
153,1,3,0
154,1,3,1
155,1,1,3
156,3,2,0
157,3,2,0
158,1,3,1
159,1,2,1
160,1,1,3
161,0,2,3
162,1,1,1
163,1,0,1
164,3,1,0
165,0,2,3
166,0,1,3
167,1,3,1
168,4,0,1
